"","X","Y","NE_ID","LONGITUDE","LATITUDE","geometry","lon_diff","lat_diff"
"524",-84.7758594,11.1893594,1159122125,-84.833297,11.199996,c(-84.7758594487559, 11.189359424868),2,2
"880",12.4533865,41.9032822,1159127243,12.447808,41.900012,c(12.4533865449718, 41.9032821799601),1,1
"1786",-125.8621245,49.0986157,1159132361,-125.903149,49.152071,c(-125.862124501637, 49.0986157484302),2,2
"1789",142.7697679,63.4214462,1159132375,0,0,c(142.769767873878, 63.4214461536879),2,2
"1832",-110.696815,35.0236103,1159132573,-110.700695,35.284705,c(-110.69681502231, 35.023610261154),1,2
"2678",50.0977245,26.4301376,1159136389,50.09967,26.428192,c(50.0977245096391, 26.4301376097117),1,1
"3170",-99.6719451,19.332328,1159138577,-99.669999,19.330382,c(-99.6719450873143, 19.3323279579906),1,1
"3662",104.7780561,29.4019459,1159140813,104.780002,29.4,c(104.778056134207, 29.4019458779526),1,1
"3672",115.4780749,38.8723756,1159140855,115.480021,38.87043,c(115.478074851697, 38.8723755654906),1,1
"3973",34.9780789,32.8223573,1159142281,34.980025,32.820411,c(34.9780789203858, 32.8223572549196),1,1
"4046",50.968059,35.8023046,1159142617,50.970005,35.800359,c(50.9680589822987, 35.8023045612465),1,1
"4092",79.4180537,28.3473332,1159142827,79.42,28.345387,c(79.418053692699, 28.34733324774),1,1
"4169",-61.7054837,16.0104101,1159143181,-61.439981,16.23039,c(-61.7054836989086, 16.0104101139158),2,2
"4366",-72.5929555,-48.4668778,1159144069,-72.559974,-48.467909,c(-72.5929555429878, -48.4668778491376),2,1
"4596",13.4411788,48.5754623,1159145097,13.466609,48.567047,c(13.4411787594079, 48.575462260634),2,1
"4793",126.7811097,37.5008348,1159146013,126.783056,37.498889,c(126.781109741387, 37.5008347586129),1,1
"4794",127.1358319,37.440557,1159146015,127.137778,37.438611,c(127.135831941387, 37.440556958613),1,1
"4795",126.8353027,37.6546817,1159146017,126.837249,37.652736,c(126.835302660943, 37.654681721336),1,1
"4810",12.4417702,43.9360958,1159146051,12.46667,43.91715,c(12.4417701578001, 43.936095834768),2,2
"4836",-90.5966425,-68.7556181,1159146109,90.499995,-68.832867,c(-90.5966425328108, -68.7556180727382),2,2
"4842",176.9944521,-89.9999998,1159146123,139.266993,-89.982894,c(176.994452094232, -89.9999998143873),2,2
"4860",-155.9837466,19.6523646,1159146163,-155.995556,19.640556,c(-155.983746567961, 19.6523646320393),2,2
"4900",-69.3019125,10.0519384,1159146253,-69.299967,10.049992,c(-69.3019125351094, 10.051938350206),1,1
"4901",-72.6819129,41.771966,1159146255,-72.679967,41.77002,c(-72.681912942024, 41.7719660196037),1,1
"4902",-71.4169256,41.8230482,1159146257,-71.41498,41.821102,c(-71.4169255559512, 41.8230481729244),1,1
"4911",-84.2019333,39.7523219,1159146277,-84.199987,39.750376,c(-84.2019332871221, 39.7523218545566),1,1
"4912",-75.9802646,36.8551602,1159146281,-75.978319,36.853214,c(-75.9802645859174, 36.8551601927613),1,1
"4927",35.1748628,47.859243,1159146313,35.176809,47.857297,c(35.1748627745534, 47.8592430378574),1,1
"4951",-1.6019363,55.0023212,1159146367,-1.59999,55.000375,c(-1.60193633854959, 55.0023212442661),1,1
"4952",-2.9199437,53.4179477,1159146371,-2.917998,53.416002,c(-2.91994374415384, 53.4179476684135),1,1
"4957",127.0089472,37.259735,1159146381,127.010893,37.257789,c(127.008947247577, 37.2597349811742),1,1
"4959",-1.5819634,53.8319534,1159146385,-1.580018,53.830008,c(-1.58196339746871, 53.8319534057199),1,1
