"","SCALERANK","NATSCALE","LABELRANK","FEATURECLA","NAME","NAMEPAR","NAMEALT","NAMEASCII","ADM0CAP","CAPIN","WORLDCITY","MEGACITY","SOV0NAME","SOV_A3","ADM0NAME","ADM0_A3","ADM1NAME","ISO_A2","NOTE","LATITUDE","LONGITUDE","POP_MAX","POP_MIN","POP_OTHER","RANK_MAX","RANK_MIN","MEGANAME","LS_NAME","MAX_POP10","MAX_POP20","MAX_POP50","MAX_POP300","MAX_POP310","MAX_NATSCA","MIN_AREAKM","MAX_AREAKM","MIN_AREAMI","MAX_AREAMI","MIN_PERKM","MAX_PERKM","MIN_PERMI","MAX_PERMI","MIN_BBXMIN","MAX_BBXMIN","MIN_BBXMAX","MAX_BBXMAX","MIN_BBYMIN","MAX_BBYMIN","MIN_BBYMAX","MAX_BBYMAX","MEAN_BBXC","MEAN_BBYC","TIMEZONE","UN_FID","POP1950","POP1955","POP1960","POP1965","POP1970","POP1975","POP1980","POP1985","POP1990","POP1995","POP2000","POP2005","POP2010","POP2015","POP2020","POP2025","POP2050","MIN_ZOOM","WIKIDATAID","WOF_ID","CAPALT","NAME_EN","NAME_DE","NAME_ES","NAME_FR","NAME_PT","NAME_RU","NAME_ZH","LABEL","NAME_AR","NAME_BN","NAME_EL","NAME_HI","NAME_HU","NAME_ID","NAME_IT","NAME_JA","NAME_KO","NAME_NL","NAME_PL","NAME_SV","NAME_TR","NAME_VI","NE_ID"
"1",10,1,8,"Admin-1 capital","Colonia del Sacramento",,,"Colonia del Sacramento",0,,0,0,"Uruguay","URY","Uruguay","URY","Colonia","UY",,-34.479999,-57.8400025,21714,21714,0,7,7,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"America/Montevideo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,"Q56064",421199749,0,"Colonia del Sacramento","Colonia del Sacramento","Colonia del Sacramento","Colonia del Sacramento","Colônia do Sacramento","Колония-дель-Сакраменто","科洛尼亞德爾薩克拉門托",,,,,,,,,,,,,,,,1159112629
"2",10,1,8,"Admin-1 capital","Trinidad",,,"Trinidad",0,,0,0,"Uruguay","URY","Uruguay","URY","Flores","UY",,-33.5439989,-56.9009966,21093,21093,0,7,7,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"America/Montevideo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,"Q862508",890444639,0,"Trinidad","Trinidad","Trinidad","Trinidad","Trinidad","Тринидад","特立尼達",,,,,,,,,,,,,,,,1159112647
"3",10,1,8,"Admin-1 capital","Fray Bentos",,,"Fray Bentos",0,,0,0,"Uruguay","URY","Uruguay","URY","Río Negro","UY",,-33.138999,-58.3039975,23279,23279,0,7,7,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"America/Montevideo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,"Q849835",890451703,0,"Fray Bentos","Fray Bentos","Fray Bentos","Fray Bentos","Fray Bentos","Фрай-Бентос","弗賴本托斯",,,,,,,,,,,,,,,,1159112663
"4",10,1,8,"Admin-1 capital","Canelones",,,"Canelones",0,,0,0,"Uruguay","URY","Uruguay","URY","Canelones","UY",,-34.538004,-56.2840015,19698,19698,0,6,6,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"America/Montevideo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,"Q841342",890444649,0,"Canelones","Canelones","Canelones","Canelones","Canelones","Канелонес","卡內洛內斯",,,,,,,,,,,,,,,,1159112679
"5",10,1,8,"Admin-1 capital","Florida",,,"Florida",0,,0,0,"Uruguay","URY","Uruguay","URY","Florida","UY",,-34.099002,-56.2149984,32234,32234,0,7,7,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"America/Montevideo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,"Q842472",890431207,0,"Florida","Florida","Florida","Florida","Florida","Флорида","佛羅里達",,,,,,,,,,,,,,,,1159112703
"6",10,1,8,"Admin-1 capital","Bassar",,,"Bassar",0,,0,0,"Togo","TGO","Togo","TGO","Kara","TG",,9.2610001,0.7890036,61845,61845,0,8,8,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Africa/Lome",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,"Q810474",421176889,0,"Bassar","Bassar (Togo)",,"Bassar","Bassar","Басар","巴萨",,,,,,,,,,,,,,,,1159112719
"7",10,1,8,"Admin-1 capital","Sotouboua",,,"Sotouboua",0,,0,0,"Togo","TGO","Togo","TGO","Centre","TG",,8.5570021,0.9849965,21054,21054,0,7,7,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Africa/Lome",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,"Q1120978",421191659,0,"Sotouboua",,,"Sotouboua","Sotouboua",,"索圖布阿",,,,,,,,,,,,,,,,1159112735
"8",10,1,7,"Admin-1 capital","Medenine",,,"Medenine",0,,0,0,"Tunisia","TUN","Tunisia","TUN","MUdenine","TN",,33.399999,10.4166996,61705,61705,0,8,8,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1,"Q846653",1141905989,0,"Medenine","Medenine","Médenine","Médenine","Médenine","Меденин","梅德寧",,,,,,,,,,,,,,,,1159112749
"9",10,1,7,"Admin-1 capital","Kebili",,,"Kebili",0,,0,0,"Tunisia","TUN","Tunisia","TUN","Kebili","TN",,33.689997,8.9710025,19875,19875,0,6,6,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Africa/Tunis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,"Q27157",421201981,0,"Kebili","Kebili",,"Kébili","Kebili",,"吉比利",,,,,,,,,,,,,,,,1159112765
"10",10,1,7,"Admin-1 capital","Tataouine",,,"Tataouine",0,,0,0,"Tunisia","TUN","Tunisia","TUN","Tataouine","TN",,33.0000032,10.4667036,62577,62577,0,8,8,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Africa/Tunis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,"Q817149",421178871,0,"Tataouine","Tataouine",,"Tataouine","Tataouine","Татавин","泰塔溫",,,,,,,,,,,,,,,,1159112779
